Date,Time,Close
2/1/14,9:30:00 AM,1833.25
2/1/14,9:45:00 AM,1832.25
2/1/14,10:00:00 AM,1831.75
2/1/14,10:15:00 AM,1831.5
2/1/14,10:30:00 AM,1830.75
2/1/14,10:45:00 AM,1827.25
2/1/14,11:00:00 AM,1827.5
2/1/14,11:15:00 AM,1826.5
2/1/14,11:30:00 AM,1824.75
2/1/14,11:45:00 AM,1827.25
2/1/14,12:00:00 PM,1826.25
2/1/14,12:15:00 PM,1825.75
2/1/14,12:30:00 PM,1824.75
2/1/14,12:45:00 PM,1826.75
2/1/14,1:00:00 PM,1826
2/1/14,1:15:00 PM,1823.25
2/1/14,1:30:00 PM,1825.5
2/1/14,1:45:00 PM,1824.75
2/1/14,2:00:00 PM,1826.75
2/1/14,2:15:00 PM,1826.75
2/1/14,2:30:00 PM,1826.75
2/1/14,2:45:00 PM,1826.25
2/1/14,3:00:00 PM,1826.25
2/1/14,3:30:00 PM,1826.5
2/1/14,3:45:00 PM,1826.75
2/1/14,4:00:00 PM,1826.5
3/1/14,9:30:00 AM,1831.75
3/1/14,9:45:00 AM,1830.25
3/1/14,10:00:00 AM,1829.75
3/1/14,10:15:00 AM,1826
3/1/14,10:30:00 AM,1825.75
3/1/14,10:45:00 AM,1824.25
3/1/14,11:00:00 AM,1824.5
3/1/14,11:15:00 AM,1825.5
3/1/14,11:30:00 AM,1826.25
3/1/14,11:45:00 AM,1825.5
3/1/14,12:00:00 PM,1825.5
3/1/14,12:15:00 PM,1825.75
3/1/14,12:30:00 PM,1824.5
3/1/14,12:45:00 PM,1825
3/1/14,1:00:00 PM,1826
3/1/14,1:15:00 PM,1825.75
3/1/14,1:30:00 PM,1827.25
3/1/14,1:45:00 PM,1829
3/1/14,2:00:00 PM,1831
3/1/14,2:15:00 PM,1830.5
3/1/14,2:30:00 PM,1829
3/1/14,2:45:00 PM,1824.75
3/1/14,3:00:00 PM,1825.25
3/1/14,3:30:00 PM,1824.5
3/1/14,3:45:00 PM,1823.5
3/1/14,4:00:00 PM,1823.25
6/1/14,9:30:00 AM,1825.25
6/1/14,9:45:00 AM,1822.5
6/1/14,10:00:00 AM,1821
6/1/14,10:15:00 AM,1819.5
6/1/14,10:30:00 AM,1818.75
6/1/14,10:45:00 AM,1820.5
6/1/14,11:00:00 AM,1820
6/1/14,11:15:00 AM,1819.5
6/1/14,11:30:00 AM,1818.75
6/1/14,11:45:00 AM,1820
6/1/14,12:00:00 PM,1819.25
6/1/14,12:15:00 PM,1819.75
6/1/14,12:30:00 PM,1820.25
6/1/14,12:45:00 PM,1823.25
6/1/14,1:00:00 PM,1823.75
6/1/14,1:15:00 PM,1823.25
6/1/14,1:30:00 PM,1825
6/1/14,1:45:00 PM,1825.25
6/1/14,2:00:00 PM,1824.5
6/1/14,2:15:00 PM,1824.75
6/1/14,2:30:00 PM,1822.5
6/1/14,2:45:00 PM,1820.75
6/1/14,3:00:00 PM,1820.5
6/1/14,3:30:00 PM,1820.25
6/1/14,3:45:00 PM,1819.75
6/1/14,4:00:00 PM,1820
7/1/14,9:30:00 AM,1834.5
7/1/14,9:45:00 AM,1833.25
7/1/14,10:00:00 AM,1832.5
7/1/14,10:15:00 AM,1831.75
7/1/14,10:30:00 AM,1831.5
7/1/14,10:45:00 AM,1831
7/1/14,11:00:00 AM,1830.25
7/1/14,11:15:00 AM,1831
7/1/14,11:30:00 AM,1832
7/1/14,11:45:00 AM,1832.5
7/1/14,12:00:00 PM,1832.5
7/1/14,12:15:00 PM,1832.5
7/1/14,12:30:00 PM,1833
7/1/14,12:45:00 PM,1830.25
7/1/14,1:00:00 PM,1829
7/1/14,1:15:00 PM,1830.5
7/1/14,1:30:00 PM,1832
7/1/14,1:45:00 PM,1831.75
7/1/14,2:00:00 PM,1832
7/1/14,2:15:00 PM,1832.75
